kodu,lõppseis,võõras,aasta
JK Tallinna Kalev,0 - 1,Nõmme Kalju FC,2019
Nõmme Kalju FC,3 - 2,FC Kuressaare,2019
Viljandi JK Tulevik,0 - 3,Tallinna FCI Levadia,2019
Tallinna FC Flora,2 - 2,JK Narva Trans,2019
Paide Linnameeskond,2 - 1,Tartu JK Tammeka,2019
Maardu Linnameeskond,0 - 0,JK Tallinna Kalev,2019
Tallinna FCI Levadia,0 - 0,Nõmme Kalju FC,2019
JK Narva Trans,5 - 1,Maardu Linnameeskond,2019
Tartu JK Tammeka,0 - 2,Tallinna FC Flora,2019
JK Tallinna Kalev,0 - 3,Paide Linnameeskond,2019
FC Kuressaare,1 - 0,Viljandi JK Tulevik,2019
Viljandi JK Tulevik,1 - 1,JK Narva Trans,2019
JK Tallinna Kalev,3 - 0,FC Kuressaare,2019
Maardu Linnameeskond,2 - 1,Tartu JK Tammeka,2019
Paide Linnameeskond,0 - 2,Nõmme Kalju FC,2019
Tallinna FC Flora,1 - 3,Tallinna FCI Levadia,2019
JK Narva Trans,2 - 2,JK Tallinna Kalev,2019
Nõmme Kalju FC,6 - 0,Maardu Linnameeskond,2019
Tartu JK Tammeka,0 - 1,Viljandi JK Tulevik,2019
FC Kuressaare,0 - 4,Tallinna FC Flora,2019
Tallinna FCI Levadia,1 - 1,Paide Linnameeskond,2019
JK Tallinna Kalev,1 - 6,Tallinna FCI Levadia,2019
Paide Linnameeskond,6 - 0,Viljandi JK Tulevik,2019
Maardu Linnameeskond,3 - 8,Tallinna FC Flora,2019
Nõmme Kalju FC,3 - 2,JK Narva Trans,2019
FC Kuressaare,1 - 1,Tartu JK Tammeka,2019
Viljandi JK Tulevik,2 - 0,Maardu Linnameeskond,2019
Tartu JK Tammeka,2 - 0,JK Tallinna Kalev,2019
Tallinna FC Flora,0 - 1,Nõmme Kalju FC,2019
Paide Linnameeskond,7 - 0,FC Kuressaare,2019
Tallinna FCI Levadia,2 - 0,JK Narva Trans,2019
JK Tallinna Kalev,0 - 2,Tallinna FC Flora,2019
Tallinna FCI Levadia,5 - 0,FC Kuressaare,2019
Nõmme Kalju FC,2 - 1,Viljandi JK Tulevik,2019
Maardu Linnameeskond,1 - 4,Paide Linnameeskond,2019
JK Narva Trans,2 - 5,Tartu JK Tammeka,2019
Tartu JK Tammeka,0 - 0,Nõmme Kalju FC,2019
Maardu Linnameeskond,1 - 6,Tallinna FCI Levadia,2019
FC Kuressaare,1 - 1,JK Narva Trans,2019
Tallinna FC Flora,4 - 1,Paide Linnameeskond,2019
Viljandi JK Tulevik,1 - 2,JK Tallinna Kalev,2019
Paide Linnameeskond,6 - 1,FC Kuressaare,2019
JK Narva Trans,1 - 1,Nõmme Kalju FC,2019
Tallinna FCI Levadia,1 - 2,Tallinna FC Flora,2019
Viljandi JK Tulevik,0 - 1,Tartu JK Tammeka,2019
JK Tallinna Kalev,1 - 4,Maardu Linnameeskond,2019
Nõmme Kalju FC,1 - 1,Paide Linnameeskond,2019
Tartu JK Tammeka,2 - 2,JK Tallinna Kalev,2019
JK Narva Trans,3 - 2,Viljandi JK Tulevik,2019
FC Kuressaare,0 - 3,Tallinna FCI Levadia,2019
Tallinna FC Flora,3 - 0,Maardu Linnameeskond,2019
Paide Linnameeskond,2 - 0,Tartu JK Tammeka,2019
Maardu Linnameeskond,1 - 3,JK Narva Trans,2019
Viljandi JK Tulevik,0 - 3,Tallinna FCI Levadia,2019
FC Kuressaare,0 - 3,Tallinna FC Flora,2019
JK Tallinna Kalev,2 - 3,Nõmme Kalju FC,2019
Tartu JK Tammeka,2 - 0,Maardu Linnameeskond,2019
Paide Linnameeskond,1 - 0,JK Narva Trans,2019
Tallinna FCI Levadia,7 - 0,JK Tallinna Kalev,2019
Nõmme Kalju FC,7 - 2,FC Kuressaare,2019
Tallinna FC Flora,3 - 0,Viljandi JK Tulevik,2019
FC Kuressaare,0 - 1,JK Tallinna Kalev,2019
Tallinna FC Flora,0 - 1,Tartu JK Tammeka,2019
JK Narva Trans,1 - 3,Tallinna FCI Levadia,2019
Viljandi JK Tulevik,1 - 2,Paide Linnameeskond,2019
Maardu Linnameeskond,1 - 4,Nõmme Kalju FC,2019
Tartu JK Tammeka,6 - 4,JK Narva Trans,2019
JK Tallinna Kalev,0 - 2,Tallinna FC Flora,2019
Maardu Linnameeskond,2 - 1,FC Kuressaare,2019
Tallinna FCI Levadia,3 - 2,Paide Linnameeskond,2019
Nõmme Kalju FC,2 - 2,Viljandi JK Tulevik,2019
FC Kuressaare,0 - 1,Tartu JK Tammeka,2019
Nõmme Kalju FC,2 - 1,Tallinna FCI Levadia,2019
JK Narva Trans,0 - 1,Tallinna FC Flora,2019
Paide Linnameeskond,5 - 0,Maardu Linnameeskond,2019
Viljandi JK Tulevik,1 - 1,JK Tallinna Kalev,2019
Tartu JK Tammeka,1 - 1,Tallinna FCI Levadia,2019
JK Narva Trans,4 - 2,FC Kuressaare,2019
Maardu Linnameeskond,2 - 2,Viljandi JK Tulevik,2019
JK Tallinna Kalev,0 - 2,Paide Linnameeskond,2019
Tallinna FC Flora,1 - 1,Nõmme Kalju FC,2019
JK Tallinna Kalev,0 - 3,JK Narva Trans,2019
Tartu JK Tammeka,1 - 2,Nõmme Kalju FC,2019
Viljandi JK Tulevik,3 - 0,FC Kuressaare,2019
Paide Linnameeskond,1 - 1,Tallinna FC Flora,2019
Tallinna FCI Levadia,3 - 1,Maardu Linnameeskond,2019
Tallinna FC Flora,5 - 0,JK Tallinna Kalev,2019
Tallinna FCI Levadia,1 - 1,Viljandi JK Tulevik,2019
FC Kuressaare,0 - 3,Paide Linnameeskond,2019
Nõmme Kalju FC,2 - 2,JK Narva Trans,2019
Maardu Linnameeskond,0 - 1,Tartu JK Tammeka,2019
Viljandi JK Tulevik,0 - 3,Nõmme Kalju FC,2019
JK Tallinna Kalev,2 - 1,FC Kuressaare,2019
JK Narva Trans,3 - 2,Tartu JK Tammeka,2019
Maardu Linnameeskond,2 - 4,Paide Linnameeskond,2019
Tallinna FC Flora,2 - 1,Tallinna FCI Levadia,2019
Paide Linnameeskond,4 - 0,Viljandi JK Tulevik,2019
Nõmme Kalju FC,6 - 0,JK Tallinna Kalev,2019
Tallinna FCI Levadia,1 - 0,JK Narva Trans,2019
FC Kuressaare,1 - 0,Maardu Linnameeskond,2019
Tartu JK Tammeka,1 - 6,Tallinna FC Flora,2019
JK Tallinna Kalev,0 - 1,Tallinna FCI Levadia,2019
Nõmme Kalju FC,4 - 0,Maardu Linnameeskond,2019
JK Narva Trans,0 - 1,Paide Linnameeskond,2019
Viljandi JK Tulevik,0 - 3,Tallinna FC Flora,2019
Tartu JK Tammeka,4 - 0,FC Kuressaare,2019
FC Kuressaare,4 - 1,Viljandi JK Tulevik,2019
Maardu Linnameeskond,2 - 2,JK Tallinna Kalev,2019
Tallinna FC Flora,1 - 0,JK Narva Trans,2019
Paide Linnameeskond,0 - 1,Nõmme Kalju FC,2019
Tallinna FCI Levadia,1 - 1,Tartu JK Tammeka,2019
Tallinna FCI Levadia,2 - 1,FC Kuressaare,2019
Paide Linnameeskond,2 - 1,JK Tallinna Kalev,2019
JK Narva Trans,5 - 2,Maardu Linnameeskond,2019
Tartu JK Tammeka,1 - 3,Viljandi JK Tulevik,2019
Nõmme Kalju FC,2 - 1,Tallinna FC Flora,2019
Viljandi JK Tulevik,0 - 2,JK Narva Trans,2019
JK Tallinna Kalev,1 - 2,Tartu JK Tammeka,2019
Maardu Linnameeskond,1 - 4,Tallinna FCI Levadia,2019
Tallinna FC Flora,1 - 0,Paide Linnameeskond,2019
FC Kuressaare,0 - 3,Nõmme Kalju FC,2019
JK Narva Trans,2 - 0,JK Tallinna Kalev,2019
Tallinna FCI Levadia,1 - 1,Nõmme Kalju FC,2019
Viljandi JK Tulevik,2 - 1,Maardu Linnameeskond,2019
Tallinna FC Flora,7 - 0,FC Kuressaare,2019
Tartu JK Tammeka,3 - 2,Paide Linnameeskond,2019
Nõmme Kalju FC,2 - 3,Tartu JK Tammeka,2019
Paide Linnameeskond,3 - 1,Tallinna FCI Levadia,2019
JK Tallinna Kalev,3 - 0,Viljandi JK Tulevik,2019
FC Kuressaare,0 - 1,JK Narva Trans,2019
Maardu Linnameeskond,0 - 12,Tallinna FC Flora,2019
