kodu,lõppseis,võõras,aasta
Nõmme Kalju FC,0 - 2,Paide Linnameeskond,2019
JK Narva Trans,0 - 0,FC Kuressaare,2019
Tallinna FCI Levadia,5 - 1,JK Tallinna Kalev,2019
Tartu JK Tammeka,2 - 2,Maardu Linnameeskond,2019
Tallinna FC Flora,2 - 0,Viljandi JK Tulevik,2019
Viljandi JK Tulevik,0 - 4,Tartu JK Tammeka,2019
FC Kuressaare,0 - 1,Tallinna FCI Levadia,2019
JK Tallinna Kalev,0 - 4,JK Narva Trans,2019
Paide Linnameeskond,0 - 1,Tallinna FC Flora,2019
Maardu Linnameeskond,0 - 5,Nõmme Kalju FC,2019
Paide Linnameeskond,2 - 0,JK Tallinna Kalev,2019
JK Narva Trans,0 - 0,Nõmme Kalju FC,2019
Tallinna FC Flora,4 - 1,Tartu JK Tammeka,2019
Tallinna FCI Levadia,8 - 0,Maardu Linnameeskond,2019
Viljandi JK Tulevik,1 - 2,FC Kuressaare,2019
Tartu JK Tammeka,0 - 3,Paide Linnameeskond,2019
Nõmme Kalju FC,0 - 3,Tallinna FC Flora,2019
JK Tallinna Kalev,0 - 2,Viljandi JK Tulevik,2019
Maardu Linnameeskond,1 - 0,FC Kuressaare,2019
JK Narva Trans,1 - 2,Tallinna FCI Levadia,2019
Paide Linnameeskond,0 - 0,JK Narva Trans,2019
Viljandi JK Tulevik,2 - 3,Nõmme Kalju FC,2019
Tartu JK Tammeka,1 - 2,Tallinna FCI Levadia,2019
FC Kuressaare,2 - 0,JK Tallinna Kalev,2019
Tallinna FC Flora,6 - 0,Maardu Linnameeskond,2019
Tallinna FCI Levadia,5 - 2,Viljandi JK Tulevik,2019
JK Tallinna Kalev,2 - 0,Maardu Linnameeskond,2019
JK Narva Trans,0 - 1,Tallinna FC Flora,2019
FC Kuressaare,0 - 1,Paide Linnameeskond,2019
Nõmme Kalju FC,2 - 0,Tartu JK Tammeka,2019
Nõmme Kalju FC,2 - 2,JK Tallinna Kalev,2019
Maardu Linnameeskond,0 - 0,Viljandi JK Tulevik,2019
Tartu JK Tammeka,1 - 2,JK Narva Trans,2019
Tallinna FC Flora,5 - 0,FC Kuressaare,2019
Paide Linnameeskond,0 - 2,Tallinna FCI Levadia,2019
JK Tallinna Kalev,0 - 4,Tartu JK Tammeka,2019
Maardu Linnameeskond,0 - 1,JK Narva Trans,2019
FC Kuressaare,0 - 0,Nõmme Kalju FC,2019
Viljandi JK Tulevik,2 - 2,Paide Linnameeskond,2019
Tallinna FCI Levadia,1 - 2,Tallinna FC Flora,2019
Tartu JK Tammeka,1 - 1,FC Kuressaare,2019
Tallinna FC Flora,6 - 0,JK Tallinna Kalev,2019
Paide Linnameeskond,2 - 0,Maardu Linnameeskond,2019
JK Narva Trans,0 - 1,Viljandi JK Tulevik,2019
Nõmme Kalju FC,2 - 1,Tallinna FCI Levadia,2019
FC Kuressaare,1 - 0,Maardu Linnameeskond,2019
Tallinna FCI Levadia,7 - 0,Tartu JK Tammeka,2019
JK Narva Trans,0 - 1,Paide Linnameeskond,2019
Viljandi JK Tulevik,1 - 3,Tallinna FC Flora,2019
