kodu,lõppseis,võõras,aasta
Tallinna FCI Levadia,5 - 1,JK Tallinna Kalev,2022
Pärnu JK Vaprus,1 - 3,Paide Linnameeskond,2022
Nõmme Kalju FC,2 - 0,FC Kuressaare,2022
Tartu JK Tammeka,0 - 4,Tallinna FC Flora,2022
Tallinna JK Legion,0 - 2,JK Narva Trans,2022
FC Kuressaare,1 - 2,JK Narva Trans,2022
Pärnu JK Vaprus,0 - 8,Tallinna FCI Levadia,2022
Tallinna JK Legion,1 - 1,Tartu JK Tammeka,2022
Tallinna FC Flora,7 - 1,JK Tallinna Kalev,2022
Paide Linnameeskond,2 - 3,Nõmme Kalju FC,2022
JK Tallinna Kalev,0 - 3,FC Kuressaare,2022
JK Narva Trans,0 - 2,Tartu JK Tammeka,2022
Tallinna FCI Levadia,2 - 0,Tallinna JK Legion,2022
Nõmme Kalju FC,2 - 0,Pärnu JK Vaprus,2022
Paide Linnameeskond,1 - 2,Tallinna FC Flora,2022
Nõmme Kalju FC,1 - 2,Tallinna FC Flora,2022
Tallinna JK Legion,2 - 2,FC Kuressaare,2022
Pärnu JK Vaprus,3 - 1,JK Tallinna Kalev,2022
Tartu JK Tammeka,1 - 3,Paide Linnameeskond,2022
JK Narva Trans,0 - 1,Tallinna FCI Levadia,2022
JK Tallinna Kalev,0 - 3,Paide Linnameeskond,2022
Tallinna JK Legion,2 - 4,Nõmme Kalju FC,2022
Tallinna FCI Levadia,4 - 0,Tartu JK Tammeka,2022
Tallinna FC Flora,1 - 0,JK Narva Trans,2022
FC Kuressaare,3 - 2,Pärnu JK Vaprus,2022
Tallinna FC Flora,2 - 0,Tallinna JK Legion,2022
JK Narva Trans,3 - 1,Pärnu JK Vaprus,2022
Tartu JK Tammeka,1 - 0,FC Kuressaare,2022
Nõmme Kalju FC,2 - 1,JK Tallinna Kalev,2022
Paide Linnameeskond,0 - 1,Tallinna FCI Levadia,2022
FC Kuressaare,0 - 3,Tallinna FC Flora,2022
Pärnu JK Vaprus,1 - 2,Tartu JK Tammeka,2022
Paide Linnameeskond,5 - 0,Tallinna JK Legion,2022
JK Narva Trans,5 - 0,JK Tallinna Kalev,2022
Tallinna FCI Levadia,1 - 1,Nõmme Kalju FC,2022
Pärnu JK Vaprus,0 - 2,Tallinna FC Flora,2022
Tallinna JK Legion,1 - 1,JK Tallinna Kalev,2022
JK Narva Trans,1 - 2,Paide Linnameeskond,2022
Tartu JK Tammeka,1 - 1,Nõmme Kalju FC,2022
Tallinna FCI Levadia,1 - 0,FC Kuressaare,2022
JK Tallinna Kalev,1 - 0,Tartu JK Tammeka,2022
Tallinna JK Legion,3 - 0,Pärnu JK Vaprus,2022
FC Kuressaare,2 - 1,Paide Linnameeskond,2022
Nõmme Kalju FC,3 - 0,JK Narva Trans,2022
Tallinna FC Flora,2 - 0,Tallinna FCI Levadia,2022
JK Narva Trans,0 - 1,FC Kuressaare,2022
Nõmme Kalju FC,3 - 0,Tallinna JK Legion,2022
Tartu JK Tammeka,0 - 1,Tallinna FCI Levadia,2022
JK Tallinna Kalev,2 - 4,Tallinna FC Flora,2022
Paide Linnameeskond,6 - 2,Pärnu JK Vaprus,2022
FC Kuressaare,1 - 0,Tallinna JK Legion,2022
Pärnu JK Vaprus,0 - 1,Nõmme Kalju FC,2022
Tallinna FCI Levadia,6 - 0,JK Narva Trans,2022
Paide Linnameeskond,7 - 0,JK Tallinna Kalev,2022
Tallinna FC Flora,3 - 2,Tartu JK Tammeka,2022
Pärnu JK Vaprus,3 - 1,FC Kuressaare,2022
JK Tallinna Kalev,0 - 1,Tallinna FCI Levadia,2022
Tallinna JK Legion,1 - 0,JK Narva Trans,2022
Nõmme Kalju FC,3 - 1,Tartu JK Tammeka,2022
Tallinna FC Flora,0 - 0,Paide Linnameeskond,2022
Tartu JK Tammeka,3 - 1,Pärnu JK Vaprus,2022
FC Kuressaare,1 - 0,JK Tallinna Kalev,2022
Tallinna FCI Levadia,1 - 0,Paide Linnameeskond,2022
Tallinna JK Legion,0 - 7,Tallinna FC Flora,2022
JK Narva Trans,2 - 1,Nõmme Kalju FC,2022
Tartu JK Tammeka,1 - 3,JK Tallinna Kalev,2022
Tallinna FC Flora,4 - 0,FC Kuressaare,2022
Paide Linnameeskond,4 - 2,JK Narva Trans,2022
Pärnu JK Vaprus,1 - 1,Tallinna JK Legion,2022
Nõmme Kalju FC,0 - 1,Tallinna FCI Levadia,2022
FC Kuressaare,1 - 1,Nõmme Kalju FC,2022
Tallinna JK Legion,1 - 3,Tallinna FCI Levadia,2022
Paide Linnameeskond,3 - 0,Tartu JK Tammeka,2022
JK Tallinna Kalev,1 - 0,Pärnu JK Vaprus,2022
JK Narva Trans,0 - 3,Tallinna FC Flora,2022
JK Tallinna Kalev,2 - 2,Tallinna JK Legion,2022
Nõmme Kalju FC,1 - 0,Paide Linnameeskond,2022
Tallinna FCI Levadia,1 - 1,Tallinna FC Flora,2022
FC Kuressaare,3 - 0,Tartu JK Tammeka,2022
Pärnu JK Vaprus,3 - 5,JK Narva Trans,2022
Tallinna FCI Levadia,4 - 1,Pärnu JK Vaprus,2022
JK Narva Trans,1 - 1,JK Tallinna Kalev,2022
Paide Linnameeskond,1 - 1,FC Kuressaare,2022
Tartu JK Tammeka,1 - 4,Tallinna JK Legion,2022
Tallinna FC Flora,2 - 0,Nõmme Kalju FC,2022
FC Kuressaare,1 - 1,Tallinna FCI Levadia,2022
JK Tallinna Kalev,0 - 3,Nõmme Kalju FC,2022
Tartu JK Tammeka,1 - 0,JK Narva Trans,2022
Tallinna FC Flora,6 - 1,Pärnu JK Vaprus,2022
Tallinna JK Legion,1 - 2,Paide Linnameeskond,2022
Tallinna FCI Levadia,3 - 1,JK Tallinna Kalev,2022
JK Narva Trans,1 - 1,Paide Linnameeskond,2022
Tallinna JK Legion,0 - 1,Tallinna FC Flora,2022
Pärnu JK Vaprus,1 - 1,Tartu JK Tammeka,2022
Nõmme Kalju FC,3 - 1,FC Kuressaare,2022
Tartu JK Tammeka,0 - 3,Tallinna FCI Levadia,2022
Nõmme Kalju FC,1 - 1,JK Narva Trans,2022
FC Kuressaare,1 - 0,Tallinna JK Legion,2022
Tallinna FC Flora,2 - 0,JK Tallinna Kalev,2022
Paide Linnameeskond,4 - 2,Pärnu JK Vaprus,2022
Pärnu JK Vaprus,0 - 3,Nõmme Kalju FC,2022
JK Tallinna Kalev,5 - 2,JK Narva Trans,2022
Paide Linnameeskond,3 - 0,Tartu JK Tammeka,2022
Tallinna FCI Levadia,3 - 0,Tallinna JK Legion,2022
FC Kuressaare,2 - 3,Tallinna FC Flora,2022
Tartu JK Tammeka,0 - 1,Tallinna FC Flora,2022
Pärnu JK Vaprus,0 - 1,FC Kuressaare,2022
Nõmme Kalju FC,6 - 0,JK Tallinna Kalev,2022
JK Narva Trans,0 - 1,Tallinna FCI Levadia,2022
Tallinna JK Legion,1 - 1,Paide Linnameeskond,2022
Tallinna FCI Levadia,3 - 0,Pärnu JK Vaprus,2022
Tallinna JK Legion,1 - 2,Nõmme Kalju FC,2022
Tallinna FC Flora,1 - 1,JK Narva Trans,2022
JK Tallinna Kalev,2 - 5,Tartu JK Tammeka,2022
Paide Linnameeskond,0 - 0,FC Kuressaare,2022
JK Tallinna Kalev,2 - 7,Paide Linnameeskond,2022
JK Narva Trans,2 - 1,Tallinna JK Legion,2022
Tallinna FC Flora,3 - 1,Pärnu JK Vaprus,2022
Nõmme Kalju FC,1 - 1,Tartu JK Tammeka,2022
FC Kuressaare,2 - 3,Tallinna FCI Levadia,2022
Pärnu JK Vaprus,2 - 3,JK Tallinna Kalev,2022
FC Kuressaare,3 - 1,JK Narva Trans,2022
Tartu JK Tammeka,2 - 0,Tallinna JK Legion,2022
Paide Linnameeskond,1 - 2,Tallinna FC Flora,2022
Tallinna FCI Levadia,1 - 1,Nõmme Kalju FC,2022
Tallinna JK Legion,2 - 3,JK Tallinna Kalev,2022
JK Narva Trans,1 - 0,Pärnu JK Vaprus,2022
Tartu JK Tammeka,1 - 1,FC Kuressaare,2022
Paide Linnameeskond,0 - 0,Tallinna FCI Levadia,2022
Tallinna FC Flora,2 - 0,Nõmme Kalju FC,2022
JK Narva Trans,0 - 0,Tartu JK Tammeka,2022
Nõmme Kalju FC,1 - 2,Paide Linnameeskond,2022
JK Tallinna Kalev,1 - 2,FC Kuressaare,2022
Tallinna FCI Levadia,1 - 2,Tallinna FC Flora,2022
Pärnu JK Vaprus,0 - 1,Tallinna JK Legion,2022
Tallinna FC Flora,1 - 0,Tartu JK Tammeka,2022
FC Kuressaare,0 - 0,Nõmme Kalju FC,2022
Pärnu JK Vaprus,1 - 2,Paide Linnameeskond,2022
JK Tallinna Kalev,0 - 3,Tallinna FCI Levadia,2022
JK Narva Trans,6 - 1,Tallinna JK Legion,2022
Nõmme Kalju FC,4 - 0,Pärnu JK Vaprus,2022
JK Narva Trans,0 - 4,Tallinna FC Flora,2022
Tartu JK Tammeka,1 - 3,JK Tallinna Kalev,2022
Tallinna FCI Levadia,2 - 3,FC Kuressaare,2022
Paide Linnameeskond,10 - 0,Tallinna JK Legion,2022
JK Tallinna Kalev,1 - 0,Pärnu JK Vaprus,2022
FC Kuressaare,2 - 2,Tartu JK Tammeka,2022
Tallinna FC Flora,4 - 1,Tallinna JK Legion,2022
Paide Linnameeskond,2 - 0,JK Narva Trans,2022
Nõmme Kalju FC,0 - 1,Tallinna FCI Levadia,2022
Tallinna JK Legion,1 - 1,Tallinna FCI Levadia,2022
JK Tallinna Kalev,0 - 2,JK Narva Trans,2022
Tartu JK Tammeka,3 - 0,Nõmme Kalju FC,2022
FC Kuressaare,3 - 3,Paide Linnameeskond,2022
Pärnu JK Vaprus,1 - 7,Tallinna FC Flora,2022
Tallinna JK Legion,3 - 2,FC Kuressaare,2022
Paide Linnameeskond,1 - 2,JK Tallinna Kalev,2022
Tallinna FCI Levadia,1 - 0,Tartu JK Tammeka,2022
Pärnu JK Vaprus,1 - 0,JK Narva Trans,2022
Nõmme Kalju FC,1 - 0,Tallinna FC Flora,2022
JK Tallinna Kalev,2 - 0,Tallinna JK Legion,2022
Tallinna FC Flora,2 - 1,FC Kuressaare,2022
Tartu JK Tammeka,1 - 0,Pärnu JK Vaprus,2022
JK Narva Trans,0 - 0,Nõmme Kalju FC,2022
Tallinna FCI Levadia,1 - 2,Paide Linnameeskond,2022
FC Kuressaare,1 - 1,JK Tallinna Kalev,2022
Pärnu JK Vaprus,2 - 3,Tallinna FCI Levadia,2022
Nõmme Kalju FC,1 - 0,Tallinna JK Legion,2022
Tartu JK Tammeka,2 - 0,JK Narva Trans,2022
Tallinna FC Flora,1 - 0,Paide Linnameeskond,2022
JK Tallinna Kalev,1 - 1,Tallinna FC Flora,2022
Tallinna JK Legion,1 - 1,Tartu JK Tammeka,2022
Tallinna FCI Levadia,1 - 1,JK Narva Trans,2022
FC Kuressaare,1 - 0,Pärnu JK Vaprus,2022
Paide Linnameeskond,1 - 0,Nõmme Kalju FC,2022
Tallinna JK Legion,2 - 1,Pärnu JK Vaprus,2022
Tallinna FC Flora,2 - 1,Tallinna FCI Levadia,2022
JK Tallinna Kalev,0 - 3,Nõmme Kalju FC,2022
JK Narva Trans,2 - 2,FC Kuressaare,2022
Tartu JK Tammeka,1 - 1,Paide Linnameeskond,2022
