kodu,lõppseis,võõras,aasta
Tallinna FC Flora,3 - 1,Tallinna JK Legion,2020
JK Narva Trans,0 - 1,Nõmme Kalju FC,2020
Tallinna FCI Levadia,1 - 0,FC Kuressaare,2020
JK Tallinna Kalev,1 - 8,Paide Linnameeskond,2020
Tartu JK Tammeka,2 - 1,Viljandi JK Tulevik,2020
Tallinna JK Legion,0 - 2,Tallinna FCI Levadia,2020
FC Kuressaare,0 - 2,Nõmme Kalju FC,2020
Paide Linnameeskond,1 - 2,Viljandi JK Tulevik,2020
JK Tallinna Kalev,1 - 1,JK Narva Trans,2020
Tallinna FC Flora,0 - 0,Tartu JK Tammeka,2020
Paide Linnameeskond,2 - 0,FC Kuressaare,2020
Nõmme Kalju FC,1 - 2,Tallinna JK Legion,2020
JK Narva Trans,2 - 3,Tallinna FC Flora,2020
Tartu JK Tammeka,0 - 2,JK Tallinna Kalev,2020
Viljandi JK Tulevik,1 - 3,Tallinna FCI Levadia,2020
Tallinna FC Flora,3 - 0,JK Tallinna Kalev,2020
FC Kuressaare,3 - 2,JK Narva Trans,2020
Tallinna JK Legion,0 - 1,Tartu JK Tammeka,2020
Viljandi JK Tulevik,0 - 6,Nõmme Kalju FC,2020
Tallinna FCI Levadia,4 - 1,Paide Linnameeskond,2020
JK Tallinna Kalev,1 - 0,Tallinna JK Legion,2020
Tartu JK Tammeka,1 - 2,FC Kuressaare,2020
Nõmme Kalju FC,2 - 0,Tallinna FCI Levadia,2020
JK Narva Trans,0 - 2,Viljandi JK Tulevik,2020
Paide Linnameeskond,1 - 3,Tallinna FC Flora,2020
Tallinna FCI Levadia,4 - 0,JK Tallinna Kalev,2020
Tallinna JK Legion,0 - 0,JK Narva Trans,2020
Viljandi JK Tulevik,5 - 0,FC Kuressaare,2020
Nõmme Kalju FC,1 - 2,Tallinna FC Flora,2020
Tartu JK Tammeka,0 - 2,Paide Linnameeskond,2020
Tallinna FC Flora,3 - 0,Viljandi JK Tulevik,2020
Tallinna FCI Levadia,2 - 2,Tartu JK Tammeka,2020
FC Kuressaare,0 - 0,Tallinna JK Legion,2020
JK Tallinna Kalev,0 - 4,Nõmme Kalju FC,2020
Paide Linnameeskond,2 - 1,JK Narva Trans,2020
Tallinna JK Legion,0 - 2,Viljandi JK Tulevik,2020
JK Narva Trans,0 - 1,Tartu JK Tammeka,2020
JK Tallinna Kalev,0 - 2,FC Kuressaare,2020
Nõmme Kalju FC,0 - 1,Paide Linnameeskond,2020
Tallinna FC Flora,4 - 0,Tallinna FCI Levadia,2020
Tartu JK Tammeka,0 - 2,Nõmme Kalju FC,2020
FC Kuressaare,0 - 4,Tallinna FC Flora,2020
Viljandi JK Tulevik,2 - 1,JK Tallinna Kalev,2020
JK Narva Trans,4 - 4,Tallinna FCI Levadia,2020
Paide Linnameeskond,2 - 0,Tallinna JK Legion,2020
Tallinna JK Legion,0 - 0,JK Tallinna Kalev,2020
Tallinna FC Flora,3 - 1,JK Narva Trans,2020
FC Kuressaare,3 - 0,Viljandi JK Tulevik,2020
Paide Linnameeskond,3 - 0,Tartu JK Tammeka,2020
Tallinna FCI Levadia,1 - 1,Nõmme Kalju FC,2020
Nõmme Kalju FC,1 - 0,FC Kuressaare,2020
Tartu JK Tammeka,1 - 3,Tallinna JK Legion,2020
Viljandi JK Tulevik,2 - 1,Tallinna FC Flora,2020
JK Tallinna Kalev,0 - 4,Tallinna FCI Levadia,2020
JK Narva Trans,1 - 0,Paide Linnameeskond,2020
Viljandi JK Tulevik,0 - 1,JK Narva Trans,2020
Tallinna FC Flora,3 - 1,Paide Linnameeskond,2020
FC Kuressaare,2 - 4,Tartu JK Tammeka,2020
Nõmme Kalju FC,2 - 0,JK Tallinna Kalev,2020
Tallinna FCI Levadia,4 - 0,Tallinna JK Legion,2020
Tallinna JK Legion,1 - 1,FC Kuressaare,2020
Paide Linnameeskond,1 - 3,Nõmme Kalju FC,2020
JK Tallinna Kalev,0 - 2,Viljandi JK Tulevik,2020
Tallinna FCI Levadia,1 - 3,Tallinna FC Flora,2020
Tartu JK Tammeka,2 - 2,JK Narva Trans,2020
Viljandi JK Tulevik,2 - 0,Tartu JK Tammeka,2020
Tallinna FC Flora,2 - 1,Nõmme Kalju FC,2020
Paide Linnameeskond,4 - 2,Tallinna FCI Levadia,2020
JK Narva Trans,2 - 0,Tallinna JK Legion,2020
FC Kuressaare,2 - 2,JK Tallinna Kalev,2020
JK Tallinna Kalev,0 - 3,Tallinna FC Flora,2020
Nõmme Kalju FC,1 - 1,Tartu JK Tammeka,2020
Tallinna JK Legion,0 - 3,Paide Linnameeskond,2020
JK Narva Trans,1 - 0,FC Kuressaare,2020
Tallinna FCI Levadia,5 - 1,Viljandi JK Tulevik,2020
Tallinna FC Flora,3 - 0,FC Kuressaare,2020
Viljandi JK Tulevik,0 - 2,Tallinna JK Legion,2020
Paide Linnameeskond,4 - 0,JK Tallinna Kalev,2020
Nõmme Kalju FC,3 - 0,JK Narva Trans,2020
Tartu JK Tammeka,1 - 1,Tallinna FCI Levadia,2020
FC Kuressaare,2 - 2,Tallinna FCI Levadia,2020
Tartu JK Tammeka,1 - 3,Tallinna FC Flora,2020
Tallinna JK Legion,0 - 6,Nõmme Kalju FC,2020
Viljandi JK Tulevik,1 - 3,Paide Linnameeskond,2020
JK Narva Trans,1 - 0,JK Tallinna Kalev,2020
Tallinna FCI Levadia,3 - 0,JK Narva Trans,2020
Viljandi JK Tulevik,0 - 1,Nõmme Kalju FC,2020
JK Tallinna Kalev,0 - 2,Tartu JK Tammeka,2020
FC Kuressaare,0 - 4,Paide Linnameeskond,2020
Tallinna JK Legion,1 - 3,Tallinna FC Flora,2020
JK Narva Trans,0 - 0,FC Kuressaare,2020
Paide Linnameeskond,3 - 1,Tartu JK Tammeka,2020
Tallinna FCI Levadia,3 - 0,JK Tallinna Kalev,2020
Nõmme Kalju FC,1 - 1,Tallinna JK Legion,2020
Tallinna FC Flora,2 - 1,Viljandi JK Tulevik,2020
JK Tallinna Kalev,1 - 4,Tallinna FC Flora,2020
Viljandi JK Tulevik,1 - 4,Paide Linnameeskond,2020
Tallinna JK Legion,2 - 1,JK Narva Trans,2020
FC Kuressaare,1 - 5,Tallinna FCI Levadia,2020
Tartu JK Tammeka,0 - 0,Nõmme Kalju FC,2020
JK Narva Trans,0 - 1,Viljandi JK Tulevik,2020
JK Tallinna Kalev,1 - 2,Tartu JK Tammeka,2020
FC Kuressaare,2 - 2,Tallinna JK Legion,2020
Tallinna FCI Levadia,2 - 1,Nõmme Kalju FC,2020
Tallinna FC Flora,1 - 0,Paide Linnameeskond,2020
Viljandi JK Tulevik,1 - 1,FC Kuressaare,2020
Paide Linnameeskond,4 - 1,JK Tallinna Kalev,2020
Tallinna JK Legion,3 - 1,Tartu JK Tammeka,2020
Nõmme Kalju FC,2 - 1,JK Narva Trans,2020
Tallinna FCI Levadia,0 - 2,Tallinna FC Flora,2020
Tallinna FC Flora,1 - 0,Tallinna JK Legion,2020
Nõmme Kalju FC,0 - 0,Viljandi JK Tulevik,2020
Tartu JK Tammeka,0 - 0,JK Narva Trans,2020
FC Kuressaare,0 - 1,JK Tallinna Kalev,2020
Paide Linnameeskond,1 - 0,Tallinna FCI Levadia,2020
Tallinna FCI Levadia,2 - 0,Viljandi JK Tulevik,2020
JK Tallinna Kalev,1 - 4,Nõmme Kalju FC,2020
Tartu JK Tammeka,4 - 2,FC Kuressaare,2020
Tallinna JK Legion,0 - 2,Paide Linnameeskond,2020
JK Narva Trans,1 - 2,Tallinna FC Flora,2020
Viljandi JK Tulevik,0 - 1,Tartu JK Tammeka,2020
Tallinna JK Legion,2 - 0,JK Tallinna Kalev,2020
JK Narva Trans,1 - 2,Tallinna FCI Levadia,2020
FC Kuressaare,0 - 4,Tallinna FC Flora,2020
Nõmme Kalju FC,1 - 3,Paide Linnameeskond,2020
JK Tallinna Kalev,4 - 1,JK Narva Trans,2020
Viljandi JK Tulevik,0 - 0,Tallinna JK Legion,2020
Tallinna FCI Levadia,3 - 2,Tartu JK Tammeka,2020
Paide Linnameeskond,6 - 2,FC Kuressaare,2020
Tallinna FC Flora,0 - 0,Nõmme Kalju FC,2020
FC Kuressaare,1 - 1,Nõmme Kalju FC,2020
Paide Linnameeskond,4 - 2,JK Narva Trans,2020
JK Tallinna Kalev,1 - 0,Viljandi JK Tulevik,2020
Tartu JK Tammeka,0 - 1,Tallinna FC Flora,2020
Tallinna JK Legion,1 - 2,Tallinna FCI Levadia,2020
Nõmme Kalju FC,0 - 3,Tallinna FC Flora,2020
Tallinna FCI Levadia,2 - 2,Paide Linnameeskond,2020
Tartu JK Tammeka,3 - 3,Viljandi JK Tulevik,2020
JK Tallinna Kalev,0 - 2,Tallinna JK Legion,2020
FC Kuressaare,0 - 3,JK Narva Trans,2020
Paide Linnameeskond,1 - 7,Tallinna FC Flora,2020
Nõmme Kalju FC,0 - 2,Tallinna FCI Levadia,2020
Tallinna JK Legion,0 - 1,FC Kuressaare,2020
JK Narva Trans,1 - 1,JK Tallinna Kalev,2020
Paide Linnameeskond,7 - 4,Nõmme Kalju FC,2020
JK Narva Trans,1 - 3,Tallinna JK Legion,2020
JK Tallinna Kalev,1 - 1,FC Kuressaare,2020
