kodu,lõppseis,võõras,aasta,koduväravad,võõraväravad
Viljandi JK Tulevik,0 - 2,JK Narva Trans,2019,0.0,2.0
JK Tallinna Kalev,1 - 2,Tartu JK Tammeka,2019,1.0,2.0
Maardu Linnameeskond,1 - 4,Tallinna FCI Levadia,2019,1.0,4.0
Tallinna FC Flora,1 - 0,Paide Linnameeskond,2019,1.0,0.0
FC Kuressaare,0 - 3,Nõmme Kalju FC,2019,0.0,3.0
JK Narva Trans,2 - 0,JK Tallinna Kalev,2019,2.0,0.0
Tallinna FCI Levadia,1 - 1,Nõmme Kalju FC,2019,1.0,1.0
Viljandi JK Tulevik,2 - 1,Maardu Linnameeskond,2019,2.0,1.0
Tallinna FC Flora,7 - 0,FC Kuressaare,2019,7.0,0.0
Tartu JK Tammeka,3 - 2,Paide Linnameeskond,2019,3.0,2.0
Nõmme Kalju FC,2 - 3,Tartu JK Tammeka,2019,2.0,3.0
Paide Linnameeskond,3 - 1,Tallinna FCI Levadia,2019,3.0,1.0
JK Tallinna Kalev,3 - 0,Viljandi JK Tulevik,2019,3.0,0.0
FC Kuressaare,0 - 1,JK Narva Trans,2019,0.0,1.0
Maardu Linnameeskond,0 - 12,Tallinna FC Flora,2019,0.0,12.0
Tallinna FC Flora,3 - 1,Tallinna JK Legion,2020,3.0,1.0
JK Narva Trans,0 - 1,Nõmme Kalju FC,2020,0.0,1.0
Tallinna FCI Levadia,1 - 0,FC Kuressaare,2020,1.0,0.0
JK Tallinna Kalev,1 - 8,Paide Linnameeskond,2020,1.0,8.0
Tartu JK Tammeka,2 - 1,Viljandi JK Tulevik,2020,2.0,1.0
Tallinna JK Legion,0 - 2,Tallinna FCI Levadia,2020,0.0,2.0
FC Kuressaare,0 - 2,Nõmme Kalju FC,2020,0.0,2.0
Paide Linnameeskond,1 - 2,Viljandi JK Tulevik,2020,1.0,2.0
JK Tallinna Kalev,1 - 1,JK Narva Trans,2020,1.0,1.0
Tallinna FC Flora,0 - 0,Tartu JK Tammeka,2020,0.0,0.0
Paide Linnameeskond,2 - 0,FC Kuressaare,2020,2.0,0.0
Nõmme Kalju FC,1 - 2,Tallinna JK Legion,2020,1.0,2.0
JK Narva Trans,2 - 3,Tallinna FC Flora,2020,2.0,3.0
Tartu JK Tammeka,0 - 2,JK Tallinna Kalev,2020,0.0,2.0
Viljandi JK Tulevik,1 - 3,Tallinna FCI Levadia,2020,1.0,3.0
Tallinna FC Flora,3 - 0,JK Tallinna Kalev,2020,3.0,0.0
FC Kuressaare,3 - 2,JK Narva Trans,2020,3.0,2.0
Tallinna JK Legion,0 - 1,Tartu JK Tammeka,2020,0.0,1.0
Viljandi JK Tulevik,0 - 6,Nõmme Kalju FC,2020,0.0,6.0
Tallinna FCI Levadia,4 - 1,Paide Linnameeskond,2020,4.0,1.0
JK Tallinna Kalev,1 - 0,Tallinna JK Legion,2020,1.0,0.0
Tartu JK Tammeka,1 - 2,FC Kuressaare,2020,1.0,2.0
Nõmme Kalju FC,2 - 0,Tallinna FCI Levadia,2020,2.0,0.0
JK Narva Trans,0 - 2,Viljandi JK Tulevik,2020,0.0,2.0
Paide Linnameeskond,1 - 3,Tallinna FC Flora,2020,1.0,3.0
Tallinna FCI Levadia,4 - 0,JK Tallinna Kalev,2020,4.0,0.0
Tallinna JK Legion,0 - 0,JK Narva Trans,2020,0.0,0.0
Viljandi JK Tulevik,5 - 0,FC Kuressaare,2020,5.0,0.0
Nõmme Kalju FC,1 - 2,Tallinna FC Flora,2020,1.0,2.0
Tartu JK Tammeka,0 - 2,Paide Linnameeskond,2020,0.0,2.0
Tallinna FC Flora,3 - 0,Viljandi JK Tulevik,2020,3.0,0.0
Tallinna FCI Levadia,2 - 2,Tartu JK Tammeka,2020,2.0,2.0
FC Kuressaare,0 - 0,Tallinna JK Legion,2020,0.0,0.0
JK Tallinna Kalev,0 - 4,Nõmme Kalju FC,2020,0.0,4.0
Paide Linnameeskond,2 - 1,JK Narva Trans,2020,2.0,1.0
Tallinna JK Legion,0 - 2,Viljandi JK Tulevik,2020,0.0,2.0
JK Narva Trans,0 - 1,Tartu JK Tammeka,2020,0.0,1.0
JK Tallinna Kalev,0 - 2,FC Kuressaare,2020,0.0,2.0
Nõmme Kalju FC,0 - 1,Paide Linnameeskond,2020,0.0,1.0
Tallinna FC Flora,4 - 0,Tallinna FCI Levadia,2020,4.0,0.0
Tartu JK Tammeka,0 - 2,Nõmme Kalju FC,2020,0.0,2.0
FC Kuressaare,0 - 4,Tallinna FC Flora,2020,0.0,4.0
Viljandi JK Tulevik,2 - 1,JK Tallinna Kalev,2020,2.0,1.0
JK Narva Trans,4 - 4,Tallinna FCI Levadia,2020,4.0,4.0
Paide Linnameeskond,2 - 0,Tallinna JK Legion,2020,2.0,0.0
Tallinna JK Legion,0 - 0,JK Tallinna Kalev,2020,0.0,0.0
Tallinna FC Flora,3 - 1,JK Narva Trans,2020,3.0,1.0
FC Kuressaare,3 - 0,Viljandi JK Tulevik,2020,3.0,0.0
Paide Linnameeskond,3 - 0,Tartu JK Tammeka,2020,3.0,0.0
Tallinna FCI Levadia,1 - 1,Nõmme Kalju FC,2020,1.0,1.0
Nõmme Kalju FC,1 - 0,FC Kuressaare,2020,1.0,0.0
Tartu JK Tammeka,1 - 3,Tallinna JK Legion,2020,1.0,3.0
Viljandi JK Tulevik,2 - 1,Tallinna FC Flora,2020,2.0,1.0
JK Tallinna Kalev,0 - 4,Tallinna FCI Levadia,2020,0.0,4.0
JK Narva Trans,1 - 0,Paide Linnameeskond,2020,1.0,0.0
Viljandi JK Tulevik,0 - 1,JK Narva Trans,2020,0.0,1.0
Tallinna FC Flora,3 - 1,Paide Linnameeskond,2020,3.0,1.0
FC Kuressaare,2 - 4,Tartu JK Tammeka,2020,2.0,4.0
Nõmme Kalju FC,2 - 0,JK Tallinna Kalev,2020,2.0,0.0
Tallinna FCI Levadia,4 - 0,Tallinna JK Legion,2020,4.0,0.0
Tallinna JK Legion,1 - 1,FC Kuressaare,2020,1.0,1.0
Paide Linnameeskond,1 - 3,Nõmme Kalju FC,2020,1.0,3.0
JK Tallinna Kalev,0 - 2,Viljandi JK Tulevik,2020,0.0,2.0
Tallinna FCI Levadia,1 - 3,Tallinna FC Flora,2020,1.0,3.0
Tartu JK Tammeka,2 - 2,JK Narva Trans,2020,2.0,2.0
Viljandi JK Tulevik,2 - 0,Tartu JK Tammeka,2020,2.0,0.0
Tallinna FC Flora,2 - 1,Nõmme Kalju FC,2020,2.0,1.0
Paide Linnameeskond,4 - 2,Tallinna FCI Levadia,2020,4.0,2.0
JK Narva Trans,2 - 0,Tallinna JK Legion,2020,2.0,0.0
FC Kuressaare,2 - 2,JK Tallinna Kalev,2020,2.0,2.0
JK Tallinna Kalev,0 - 3,Tallinna FC Flora,2020,0.0,3.0
Nõmme Kalju FC,1 - 1,Tartu JK Tammeka,2020,1.0,1.0
Tallinna JK Legion,0 - 3,Paide Linnameeskond,2020,0.0,3.0
JK Narva Trans,1 - 0,FC Kuressaare,2020,1.0,0.0
Tallinna FCI Levadia,5 - 1,Viljandi JK Tulevik,2020,5.0,1.0
Tallinna FC Flora,3 - 0,FC Kuressaare,2020,3.0,0.0
Viljandi JK Tulevik,0 - 2,Tallinna JK Legion,2020,0.0,2.0
Paide Linnameeskond,4 - 0,JK Tallinna Kalev,2020,4.0,0.0
Nõmme Kalju FC,3 - 0,JK Narva Trans,2020,3.0,0.0
Tartu JK Tammeka,1 - 1,Tallinna FCI Levadia,2020,1.0,1.0
FC Kuressaare,2 - 2,Tallinna FCI Levadia,2020,2.0,2.0
Tartu JK Tammeka,1 - 3,Tallinna FC Flora,2020,1.0,3.0
Tallinna JK Legion,0 - 6,Nõmme Kalju FC,2020,0.0,6.0
Viljandi JK Tulevik,1 - 3,Paide Linnameeskond,2020,1.0,3.0
JK Narva Trans,1 - 0,JK Tallinna Kalev,2020,1.0,0.0
Tallinna FCI Levadia,3 - 0,JK Narva Trans,2020,3.0,0.0
Viljandi JK Tulevik,0 - 1,Nõmme Kalju FC,2020,0.0,1.0
JK Tallinna Kalev,0 - 2,Tartu JK Tammeka,2020,0.0,2.0
FC Kuressaare,0 - 4,Paide Linnameeskond,2020,0.0,4.0
Tallinna JK Legion,1 - 3,Tallinna FC Flora,2020,1.0,3.0
JK Narva Trans,0 - 0,FC Kuressaare,2020,0.0,0.0
Paide Linnameeskond,3 - 1,Tartu JK Tammeka,2020,3.0,1.0
Tallinna FCI Levadia,3 - 0,JK Tallinna Kalev,2020,3.0,0.0
Nõmme Kalju FC,1 - 1,Tallinna JK Legion,2020,1.0,1.0
Tallinna FC Flora,2 - 1,Viljandi JK Tulevik,2020,2.0,1.0
JK Tallinna Kalev,1 - 4,Tallinna FC Flora,2020,1.0,4.0
Viljandi JK Tulevik,1 - 4,Paide Linnameeskond,2020,1.0,4.0
Tallinna JK Legion,2 - 1,JK Narva Trans,2020,2.0,1.0
FC Kuressaare,1 - 5,Tallinna FCI Levadia,2020,1.0,5.0
Tartu JK Tammeka,0 - 0,Nõmme Kalju FC,2020,0.0,0.0
JK Narva Trans,0 - 1,Viljandi JK Tulevik,2020,0.0,1.0
JK Tallinna Kalev,1 - 2,Tartu JK Tammeka,2020,1.0,2.0
FC Kuressaare,2 - 2,Tallinna JK Legion,2020,2.0,2.0
Tallinna FCI Levadia,2 - 1,Nõmme Kalju FC,2020,2.0,1.0
Tallinna FC Flora,1 - 0,Paide Linnameeskond,2020,1.0,0.0
Viljandi JK Tulevik,1 - 1,FC Kuressaare,2020,1.0,1.0
Paide Linnameeskond,4 - 1,JK Tallinna Kalev,2020,4.0,1.0
Tallinna JK Legion,3 - 1,Tartu JK Tammeka,2020,3.0,1.0
Nõmme Kalju FC,2 - 1,JK Narva Trans,2020,2.0,1.0
Tallinna FCI Levadia,0 - 2,Tallinna FC Flora,2020,0.0,2.0
Tallinna FC Flora,1 - 0,Tallinna JK Legion,2020,1.0,0.0
Nõmme Kalju FC,0 - 0,Viljandi JK Tulevik,2020,0.0,0.0
Tartu JK Tammeka,0 - 0,JK Narva Trans,2020,0.0,0.0
FC Kuressaare,0 - 1,JK Tallinna Kalev,2020,0.0,1.0
Paide Linnameeskond,1 - 0,Tallinna FCI Levadia,2020,1.0,0.0
Tallinna FCI Levadia,2 - 0,Viljandi JK Tulevik,2020,2.0,0.0
JK Tallinna Kalev,1 - 4,Nõmme Kalju FC,2020,1.0,4.0
Tartu JK Tammeka,4 - 2,FC Kuressaare,2020,4.0,2.0
Tallinna JK Legion,0 - 2,Paide Linnameeskond,2020,0.0,2.0
JK Narva Trans,1 - 2,Tallinna FC Flora,2020,1.0,2.0
Viljandi JK Tulevik,0 - 1,Tartu JK Tammeka,2020,0.0,1.0
Tallinna JK Legion,2 - 0,JK Tallinna Kalev,2020,2.0,0.0
JK Narva Trans,1 - 2,Tallinna FCI Levadia,2020,1.0,2.0
FC Kuressaare,0 - 4,Tallinna FC Flora,2020,0.0,4.0
Nõmme Kalju FC,1 - 3,Paide Linnameeskond,2020,1.0,3.0
JK Tallinna Kalev,4 - 1,JK Narva Trans,2020,4.0,1.0
Viljandi JK Tulevik,0 - 0,Tallinna JK Legion,2020,0.0,0.0
Tallinna FCI Levadia,3 - 2,Tartu JK Tammeka,2020,3.0,2.0
Paide Linnameeskond,6 - 2,FC Kuressaare,2020,6.0,2.0
Tallinna FC Flora,0 - 0,Nõmme Kalju FC,2020,0.0,0.0
FC Kuressaare,1 - 1,Nõmme Kalju FC,2020,1.0,1.0
Paide Linnameeskond,4 - 2,JK Narva Trans,2020,4.0,2.0
JK Tallinna Kalev,1 - 0,Viljandi JK Tulevik,2020,1.0,0.0
Tartu JK Tammeka,0 - 1,Tallinna FC Flora,2020,0.0,1.0
Tallinna JK Legion,1 - 2,Tallinna FCI Levadia,2020,1.0,2.0
Nõmme Kalju FC,0 - 3,Tallinna FC Flora,2020,0.0,3.0
Tallinna FCI Levadia,2 - 2,Paide Linnameeskond,2020,2.0,2.0
Tartu JK Tammeka,3 - 3,Viljandi JK Tulevik,2020,3.0,3.0
JK Tallinna Kalev,0 - 2,Tallinna JK Legion,2020,0.0,2.0
FC Kuressaare,0 - 3,JK Narva Trans,2020,0.0,3.0
Paide Linnameeskond,1 - 7,Tallinna FC Flora,2020,1.0,7.0
Nõmme Kalju FC,0 - 2,Tallinna FCI Levadia,2020,0.0,2.0
Tallinna JK Legion,0 - 1,FC Kuressaare,2020,0.0,1.0
JK Narva Trans,1 - 1,JK Tallinna Kalev,2020,1.0,1.0
Paide Linnameeskond,7 - 4,Nõmme Kalju FC,2020,7.0,4.0
JK Narva Trans,1 - 3,Tallinna JK Legion,2020,1.0,3.0
JK Tallinna Kalev,1 - 1,FC Kuressaare,2020,1.0,1.0
Tallinna JK Legion,1 - 1,Paide Linnameeskond,2021,1.0,1.0
Tallinna FC Flora,2 - 0,Pärnu JK Vaprus,2021,2.0,0.0
Tallinna FCI Levadia,3 - 0,FC Kuressaare,2021,3.0,0.0
Nõmme Kalju FC,5 - 1,Viljandi JK Tulevik,2021,5.0,1.0
Tartu JK Tammeka,3 - 2,JK Narva Trans,2021,3.0,2.0
FC Kuressaare,1 - 3,Tartu JK Tammeka,2021,1.0,3.0
Tallinna FCI Levadia,4 - 3,Tallinna JK Legion,2021,4.0,3.0
JK Narva Trans,1 - 1,Pärnu JK Vaprus,2021,1.0,1.0
Viljandi JK Tulevik,0 - 1,Paide Linnameeskond,2021,0.0,1.0
Tallinna FC Flora,1 - 0,Nõmme Kalju FC,2021,1.0,0.0
Tallinna FCI Levadia,5 - 0,Pärnu JK Vaprus,2021,5.0,0.0
FC Kuressaare,2 - 3,Viljandi JK Tulevik,2021,2.0,3.0
Paide Linnameeskond,5 - 1,JK Narva Trans,2021,5.0,1.0
Tallinna JK Legion,0 - 1,Nõmme Kalju FC,2021,0.0,1.0
Tartu JK Tammeka,0 - 3,Tallinna FC Flora,2021,0.0,3.0
Nõmme Kalju FC,0 - 1,JK Narva Trans,2021,0.0,1.0
Viljandi JK Tulevik,0 - 4,Tallinna FCI Levadia,2021,0.0,4.0
Tartu JK Tammeka,0 - 2,Paide Linnameeskond,2021,0.0,2.0
Pärnu JK Vaprus,1 - 4,Tallinna JK Legion,2021,1.0,4.0
Tallinna FC Flora,2 - 2,FC Kuressaare,2021,2.0,2.0
FC Kuressaare,0 - 2,Nõmme Kalju FC,2021,0.0,2.0
JK Narva Trans,0 - 0,Tallinna JK Legion,2021,0.0,0.0
Viljandi JK Tulevik,3 - 1,Pärnu JK Vaprus,2021,3.0,1.0
Tallinna FCI Levadia,2 - 1,Tartu JK Tammeka,2021,2.0,1.0
Paide Linnameeskond,0 - 0,Tallinna FC Flora,2021,0.0,0.0
Paide Linnameeskond,1 - 0,FC Kuressaare,2021,1.0,0.0
Pärnu JK Vaprus,1 - 2,Tartu JK Tammeka,2021,1.0,2.0
JK Narva Trans,6 - 2,Viljandi JK Tulevik,2021,6.0,2.0
Nõmme Kalju FC,0 - 1,Tallinna FCI Levadia,2021,0.0,1.0
Tallinna JK Legion,1 - 2,Tallinna FC Flora,2021,1.0,2.0
Tartu JK Tammeka,1 - 1,Viljandi JK Tulevik,2021,1.0,1.0
Tallinna JK Legion,1 - 0,FC Kuressaare,2021,1.0,0.0
Tallinna FC Flora,5 - 0,JK Narva Trans,2021,5.0,0.0
Tallinna FCI Levadia,0 - 4,Paide Linnameeskond,2021,0.0,4.0
Nõmme Kalju FC,0 - 1,Pärnu JK Vaprus,2021,0.0,1.0
Viljandi JK Tulevik,3 - 3,Tallinna FC Flora,2021,3.0,3.0
Tartu JK Tammeka,0 - 1,Tallinna JK Legion,2021,0.0,1.0
FC Kuressaare,2 - 1,Pärnu JK Vaprus,2021,2.0,1.0
Paide Linnameeskond,2 - 1,Nõmme Kalju FC,2021,2.0,1.0
Tallinna FCI Levadia,3 - 2,JK Narva Trans,2021,3.0,2.0
Tallinna JK Legion,2 - 1,Viljandi JK Tulevik,2021,2.0,1.0
Pärnu JK Vaprus,1 - 3,Paide Linnameeskond,2021,1.0,3.0
JK Narva Trans,2 - 0,FC Kuressaare,2021,2.0,0.0
Tallinna FC Flora,0 - 0,Tallinna FCI Levadia,2021,0.0,0.0
Nõmme Kalju FC,4 - 1,Tartu JK Tammeka,2021,4.0,1.0
FC Kuressaare,0 - 4,Tallinna FC Flora,2021,0.0,4.0
Paide Linnameeskond,1 - 0,Tallinna JK Legion,2021,1.0,0.0
Viljandi JK Tulevik,1 - 3,Nõmme Kalju FC,2021,1.0,3.0
Tartu JK Tammeka,1 - 2,Tallinna FCI Levadia,2021,1.0,2.0
Pärnu JK Vaprus,2 - 1,JK Narva Trans,2021,2.0,1.0
FC Kuressaare,2 - 2,Paide Linnameeskond,2021,2.0,2.0
Tallinna FCI Levadia,4 - 1,Viljandi JK Tulevik,2021,4.0,1.0
JK Narva Trans,2 - 1,Tartu JK Tammeka,2021,2.0,1.0
Nõmme Kalju FC,1 - 2,Tallinna FC Flora,2021,1.0,2.0
Tallinna JK Legion,7 - 1,Pärnu JK Vaprus,2021,7.0,1.0
Tallinna FC Flora,2 - 1,Tallinna JK Legion,2021,2.0,1.0
Tartu JK Tammeka,0 - 1,FC Kuressaare,2021,0.0,1.0
JK Narva Trans,1 - 2,Nõmme Kalju FC,2021,1.0,2.0
Paide Linnameeskond,1 - 2,Tallinna FCI Levadia,2021,1.0,2.0
Pärnu JK Vaprus,0 : -,Viljandi JK Tulevik,2021,,
Pärnu JK Vaprus,0 - 4,Tallinna FCI Levadia,2021,0.0,4.0
Viljandi JK Tulevik,1 - 2,FC Kuressaare,2021,1.0,2.0
JK Narva Trans,0 - 3,Tallinna JK Legion,2021,0.0,3.0
Nõmme Kalju FC,0 - 0,Paide Linnameeskond,2021,0.0,0.0
Tallinna FC Flora,9 - 0,Tartu JK Tammeka,2021,9.0,0.0
FC Kuressaare,1 - 2,JK Narva Trans,2021,1.0,2.0
Paide Linnameeskond,0 - 1,Viljandi JK Tulevik,2021,0.0,1.0
Pärnu JK Vaprus,1 - 7,Nõmme Kalju FC,2021,1.0,7.0
Tallinna FCI Levadia,2 - 4,Tallinna FC Flora,2021,2.0,4.0
Tartu JK Tammeka,0 - 2,Tallinna JK Legion,2021,0.0,2.0
Viljandi JK Tulevik,1 - 0,Tallinna JK Legion,2021,1.0,0.0
Paide Linnameeskond,2 - 1,Pärnu JK Vaprus,2021,2.0,1.0
Tartu JK Tammeka,2 - 2,Nõmme Kalju FC,2021,2.0,2.0
FC Kuressaare,2 - 3,Tallinna FCI Levadia,2021,2.0,3.0
JK Narva Trans,0 - 2,Tallinna FC Flora,2021,0.0,2.0
JK Narva Trans,0 - 1,Paide Linnameeskond,2021,0.0,1.0
Tallinna FC Flora,3 - 0,Viljandi JK Tulevik,2021,3.0,0.0
Tallinna JK Legion,2 - 3,Tallinna FCI Levadia,2021,2.0,3.0
Tartu JK Tammeka,2 - 2,Pärnu JK Vaprus,2021,2.0,2.0
FC Kuressaare,0 - 2,Nõmme Kalju FC,2021,0.0,2.0
Pärnu JK Vaprus,0 - 4,Tallinna FC Flora,2021,0.0,4.0
Viljandi JK Tulevik,0 - 1,JK Narva Trans,2021,0.0,1.0
FC Kuressaare,1 - 1,Tallinna JK Legion,2021,1.0,1.0
Tallinna FCI Levadia,4 - 1,Nõmme Kalju FC,2021,4.0,1.0
Paide Linnameeskond,1 - 1,Tartu JK Tammeka,2021,1.0,1.0
Tallinna FC Flora,3 - 3,Paide Linnameeskond,2021,3.0,3.0
Pärnu JK Vaprus,2 - 1,FC Kuressaare,2021,2.0,1.0
Viljandi JK Tulevik,5 - 3,Tartu JK Tammeka,2021,5.0,3.0
Nõmme Kalju FC,3 - 1,Tallinna JK Legion,2021,3.0,1.0
JK Narva Trans,1 - 4,Tallinna FCI Levadia,2021,1.0,4.0
Tallinna JK Legion,2 - 1,Pärnu JK Vaprus,2021,2.0,1.0
Tallinna FCI Levadia,3 - 0,FC Kuressaare,2021,3.0,0.0
Paide Linnameeskond,3 - 1,Viljandi JK Tulevik,2021,3.0,1.0
Tartu JK Tammeka,0 - 3,Nõmme Kalju FC,2021,0.0,3.0
Tallinna FC Flora,5 - 2,JK Narva Trans,2021,5.0,2.0
Tallinna FCI Levadia,4 - 0,Tartu JK Tammeka,2021,4.0,0.0
Tallinna JK Legion,0 - 0,JK Narva Trans,2021,0.0,0.0
FC Kuressaare,1 - 0,Tallinna FC Flora,2021,1.0,0.0
Pärnu JK Vaprus,1 - 1,Paide Linnameeskond,2021,1.0,1.0
Nõmme Kalju FC,3 - 1,Viljandi JK Tulevik,2021,3.0,1.0
Viljandi JK Tulevik,1 - 0,Pärnu JK Vaprus,2021,1.0,0.0
Tallinna JK Legion,1 - 2,Paide Linnameeskond,2021,1.0,2.0
Nõmme Kalju FC,1 - 1,JK Narva Trans,2021,1.0,1.0
FC Kuressaare,2 - 0,Tartu JK Tammeka,2021,2.0,0.0
Tallinna FCI Levadia,1 - 5,Tallinna FC Flora,2021,1.0,5.0
Viljandi JK Tulevik,4 - 1,Tartu JK Tammeka,2021,4.0,1.0
JK Narva Trans,3 - 0,Pärnu JK Vaprus,2021,3.0,0.0
Paide Linnameeskond,4 - 1,FC Kuressaare,2021,4.0,1.0
Tallinna FCI Levadia,2 - 1,Nõmme Kalju FC,2021,2.0,1.0
Tallinna FC Flora,5 - 1,Tallinna JK Legion,2021,5.0,1.0
Tallinna JK Legion,3 - 1,Tartu JK Tammeka,2021,3.0,1.0
JK Narva Trans,1 - 0,Viljandi JK Tulevik,2021,1.0,0.0
Nõmme Kalju FC,0 - 3,FC Kuressaare,2021,0.0,3.0
Pärnu JK Vaprus,0 - 6,Tallinna FC Flora,2021,0.0,6.0
Paide Linnameeskond,0 - 3,Tallinna FCI Levadia,2021,0.0,3.0
Tallinna JK Legion,3 - 1,Viljandi JK Tulevik,2021,3.0,1.0
FC Kuressaare,6 - 0,Pärnu JK Vaprus,2021,6.0,0.0
Tallinna FCI Levadia,3 - 0,JK Narva Trans,2021,3.0,0.0
Tallinna FC Flora,2 - 0,Nõmme Kalju FC,2021,2.0,0.0
Tartu JK Tammeka,2 - 5,Paide Linnameeskond,2021,2.0,5.0
Tallinna JK Legion,1 - 2,Tallinna FCI Levadia,2021,1.0,2.0
Viljandi JK Tulevik,2 - 2,Tallinna FC Flora,2021,2.0,2.0
Nõmme Kalju FC,3 - 2,Paide Linnameeskond,2021,3.0,2.0
JK Narva Trans,2 - 2,FC Kuressaare,2021,2.0,2.0
Pärnu JK Vaprus,1 - 2,Tartu JK Tammeka,2021,1.0,2.0
Paide Linnameeskond,4 - 0,JK Narva Trans,2021,4.0,0.0
Nõmme Kalju FC,2 - 2,Tallinna JK Legion,2021,2.0,2.0
FC Kuressaare,1 - 0,Viljandi JK Tulevik,2021,1.0,0.0
Tallinna FC Flora,3 - 0,Tartu JK Tammeka,2021,3.0,0.0
Tallinna FCI Levadia,5 - 0,Pärnu JK Vaprus,2021,5.0,0.0
Pärnu JK Vaprus,1 - 4,Nõmme Kalju FC,2021,1.0,4.0
Viljandi JK Tulevik,3 - 2,Tallinna FCI Levadia,2021,3.0,2.0
Tartu JK Tammeka,2 - 1,JK Narva Trans,2021,2.0,1.0
FC Kuressaare,0 - 2,Tallinna JK Legion,2021,0.0,2.0
Paide Linnameeskond,1 - 1,Tallinna FC Flora,2021,1.0,1.0
Paide Linnameeskond,4 - 0,Tallinna JK Legion,2021,4.0,0.0
JK Narva Trans,0 - 2,Tallinna FC Flora,2021,0.0,2.0
Nõmme Kalju FC,1 - 2,Tallinna FCI Levadia,2021,1.0,2.0
Pärnu JK Vaprus,1 - 2,Viljandi JK Tulevik,2021,1.0,2.0
Tartu JK Tammeka,1 - 0,FC Kuressaare,2021,1.0,0.0
Tallinna FCI Levadia,2 - 2,Tallinna JK Legion,2021,2.0,2.0
JK Narva Trans,1 - 5,Paide Linnameeskond,2021,1.0,5.0
Nõmme Kalju FC,0 - 1,Tallinna FC Flora,2021,0.0,1.0
Tartu JK Tammeka,2 - 0,Viljandi JK Tulevik,2021,2.0,0.0
Pärnu JK Vaprus,0 - 4,FC Kuressaare,2021,0.0,4.0
JK Narva Trans,0 - 0,Nõmme Kalju FC,2021,0.0,0.0
Tallinna JK Legion,0 - 2,Tallinna FC Flora,2021,0.0,2.0
Tallinna FCI Levadia,1 - 0,Paide Linnameeskond,2021,1.0,0.0
Viljandi JK Tulevik,0 - 2,FC Kuressaare,2021,0.0,2.0
Tartu JK Tammeka,2 - 3,Pärnu JK Vaprus,2021,2.0,3.0
Tallinna JK Legion,2 - 2,Nõmme Kalju FC,2021,2.0,2.0
JK Narva Trans,0 - 2,Tallinna FCI Levadia,2021,0.0,2.0
Tallinna FC Flora,3 - 0,Paide Linnameeskond,2021,3.0,0.0
Tallinna JK Legion,0 - 2,JK Narva Trans,2021,0.0,2.0
Paide Linnameeskond,5 - 3,Nõmme Kalju FC,2021,5.0,3.0
Tallinna FC Flora,2 - 2,Tallinna FCI Levadia,2021,2.0,2.0
Tallinna FCI Levadia,5 - 1,JK Tallinna Kalev,2022,5.0,1.0
Pärnu JK Vaprus,1 - 3,Paide Linnameeskond,2022,1.0,3.0
Nõmme Kalju FC,2 - 0,FC Kuressaare,2022,2.0,0.0
Tartu JK Tammeka,0 - 4,Tallinna FC Flora,2022,0.0,4.0
Tallinna JK Legion,0 - 2,JK Narva Trans,2022,0.0,2.0
FC Kuressaare,1 - 2,JK Narva Trans,2022,1.0,2.0
Pärnu JK Vaprus,0 - 8,Tallinna FCI Levadia,2022,0.0,8.0
Tallinna JK Legion,1 - 1,Tartu JK Tammeka,2022,1.0,1.0
Tallinna FC Flora,7 - 1,JK Tallinna Kalev,2022,7.0,1.0
Paide Linnameeskond,2 - 3,Nõmme Kalju FC,2022,2.0,3.0
JK Tallinna Kalev,0 - 3,FC Kuressaare,2022,0.0,3.0
JK Narva Trans,0 - 2,Tartu JK Tammeka,2022,0.0,2.0
Tallinna FCI Levadia,2 - 0,Tallinna JK Legion,2022,2.0,0.0
Nõmme Kalju FC,2 - 0,Pärnu JK Vaprus,2022,2.0,0.0
Paide Linnameeskond,1 - 2,Tallinna FC Flora,2022,1.0,2.0
Nõmme Kalju FC,1 - 2,Tallinna FC Flora,2022,1.0,2.0
Tallinna JK Legion,2 - 2,FC Kuressaare,2022,2.0,2.0
Pärnu JK Vaprus,3 - 1,JK Tallinna Kalev,2022,3.0,1.0
Tartu JK Tammeka,1 - 3,Paide Linnameeskond,2022,1.0,3.0
JK Narva Trans,0 - 1,Tallinna FCI Levadia,2022,0.0,1.0
JK Tallinna Kalev,0 - 3,Paide Linnameeskond,2022,0.0,3.0
Tallinna JK Legion,2 - 4,Nõmme Kalju FC,2022,2.0,4.0
Tallinna FCI Levadia,4 - 0,Tartu JK Tammeka,2022,4.0,0.0
Tallinna FC Flora,1 - 0,JK Narva Trans,2022,1.0,0.0
FC Kuressaare,3 - 2,Pärnu JK Vaprus,2022,3.0,2.0
Tallinna FC Flora,2 - 0,Tallinna JK Legion,2022,2.0,0.0
JK Narva Trans,3 - 1,Pärnu JK Vaprus,2022,3.0,1.0
Tartu JK Tammeka,1 - 0,FC Kuressaare,2022,1.0,0.0
Nõmme Kalju FC,2 - 1,JK Tallinna Kalev,2022,2.0,1.0
Paide Linnameeskond,0 - 1,Tallinna FCI Levadia,2022,0.0,1.0
FC Kuressaare,0 - 3,Tallinna FC Flora,2022,0.0,3.0
Pärnu JK Vaprus,1 - 2,Tartu JK Tammeka,2022,1.0,2.0
Paide Linnameeskond,5 - 0,Tallinna JK Legion,2022,5.0,0.0
JK Narva Trans,5 - 0,JK Tallinna Kalev,2022,5.0,0.0
